Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_E_ES_Command_TicketCheck}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_E_ES_SP_2}
~.*(Por favor|elija|opciones).*,Amelia_Button_E_ES_CheckTicketStatus
~.*((?=.*ayudarte)(?=.*verificación)(?=.*alegra)).*,
~.*(¿Sabes|número|ticket).*,Amelia_Button_E_ES_YES
~.*(¿Cuál|número|ticket).*,{#Data.Ameila_Epic_E_ES_InProgressTicket_Breached}
~.*((?=.*estado)(?=.*ticket)(?=.*En progreso)).*,
~.*(la espera|contacto|agente|ayudarte|minutos).*,
